,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
33115,2022-10-15,Kingston upon Thames,E09000021,-20,-3,69,-5,-1,1
13635,2022-10-15,Hammersmith and Fulham,E09000013,-30,-9,3,-31,-23,1
12661,2022-10-15,Hackney,E09000012,-24,-8,-8,-24,-17,0
3895,2022-10-15,Barking and Dagenham,E09000002,-17,2,27,-6,-19,0
28245,2022-10-15,Tower Hamlets,E09000030,-13,-2,-9,-17,-9,0
21427,2022-10-15,Lewisham,E09000023,-8,-1,-15,-17,-17,1
19479,2022-10-15,Islington,E09000019,-31,-5,-10,-49,-12,0
5843,2022-10-15,Bexley,E09000004,-17,5,32,-26,-12,1
30193,2022-10-15,Wandsworth,E09000032,-26,-16,41,-18,-8,0
14609,2022-10-15,Haringey,E09000014,0,-10,-16,4,-26,0
11687,2022-10-15,Enfield,E09000010,-21,-9,10,-25,-15,1
27271,2022-10-15,Sutton,E09000029,-17,0,3,-29,-11,0
22401,2022-10-15,Merton,E09000024,-24,-10,-15,-5,-12,0
16557,2022-10-15,Havering,E09000016,-13,0,-7,-10,-5,0
6817,2022-10-15,Brent,E09000005,-11,0,24,-12,-12,0
18505,2022-10-15,Hounslow,E09000018,-9,14,-2,6,-2,0
8765,2022-10-15,Camden,E09000007,-21,-5,-14,14,-9,0
31167,2022-10-15,Greenwich,E09000011,-5,4,-18,3,-12,1
15583,2022-10-15,Harrow,E09000015,-13,18,47,6,5,0
10713,2022-10-15,Ealing,E09000009,-11,-4,15,-13,-12,0
26297,2022-10-15,Southwark,E09000028,-22,-8,-8,1,-4,-1
23375,2022-10-15,Newham,E09000025,-22,-1,82,-8,-1,-1
32141,2022-10-15,Kensington and Chelsea,E09000020,-25,9,-11,-23,-21,0
1947,2022-10-15,City of London,E09000001,-10,-42,-7,8,,
7791,2022-10-15,Bromley,E09000006,-17,6,-10,-14,-2,0
